|||FirstProcess||OTHER|0|||PSTests.Parallel|PSObjectTests|TestMemberSetIsNotProperty||METHOD|1|
|System.Collections.Generic|Dictionary|TryGetValue|string key,System.Management.Automation.PSTraceSource value|METHOD|18|FULL HAVOC||System.Management.Automation.Language|KeyComparer|GetHashCode|System.Tuple<string, System.Type, bool, bool> obj|METHOD|2|
|System.Collections.ObjectModel|Collection|Add|System.Management.Automation.CollectionEntry<System.Management.Automation.PSMemberInfo> item|METHOD|25|FULL HAVOC||System.Management.Automation|CollectionEntry|ctor|System.Management.Automation.CollectionEntry<T>.GetMembersDelegate getMembers,System.Management.Automation.CollectionEntry<T>.GetMemberDelegate getMember,System.Management.Automation.CollectionEntry<T>.GetFirstOrDefaultDelegate getFirstOrDefault,bool shouldReplicateWhenReturning,bool shouldCloneWhenReturning,string collectionNameForTracing|METHOD|2|
|System.Runtime.CompilerServices|ConditionalWeakTable|GetValue|object key,System.Runtime.CompilerServices.ConditionalWeakTable<object, System.Management.Automation.PSMemberInfoInternalCollection<System.Management.Automation.PSMemberInfo>>.CreateValueCallback createValueCallback|METHOD|1|FULL HAVOC||System.Management.Automation|PSMemberInfoInternalCollection|ctor||METHOD|1|
|System.Collections.Generic|Dictionary|Add|System.Tuple<string, System.Type, bool, bool> key,System.Management.Automation.Language.PSGetMemberBinder value|METHOD|37|Null.{}.{R;R.?;R.?.?.OfKind{DictInternal}.?;P}.{R.?.?.OfKind{DictInternal}.?}.{[R.?.?.OfKind{DictInternal}, P, ?]}<EOF>||System.Management.Automation.Language|KeyComparer|GetHashCode|System.Tuple<string, System.Type, bool, bool> obj|METHOD|7|
|System.Management.Automation|PSMemberInfoCollection|MoveNext||PROPERTY|0|||System.Management.Automation|PSMemberInfoIntegratingCollection|GetEnumerator||METHOD|2|
|System.Management.Automation|PSMemberInfoCollection|MoveNext||PROPERTY|0|||System.Management.Automation|Enumerator|MoveNext||METHOD|4|
|System.Management.Automation|PSMemberInfoCollection|MoveNext||PROPERTY|0|||System.Management.Automation|Enumerator|SystemCollectionsGenericIEnumerator<S>get_Current||METHOD|2|
|System.Management.Automation|PSMemberInfoInternalCollection|MoveNext||PROPERTY|0|||System.Management.Automation|PSMemberInfoInternalCollection|GetEnumerator||METHOD|3|
|System.Management.Automation|GetFirstOrDefaultDelegate|Invoke|System.Management.Automation.PSObject obj,System.Management.Automation.MemberNamePredicate predicate|METHOD|3|FULL HAVOC||System.Management.Automation|PSObject|TypeTableGetFirstMemberOrDefaultDelegate|System.Management.Automation.PSObject msjObj,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|
|System.Management.Automation|GetFirstOrDefaultDelegate|Invoke|System.Management.Automation.PSObject obj,System.Management.Automation.MemberNamePredicate predicate|METHOD|3|FULL HAVOC||System.Management.Automation|PSObject|AdapterGetFirstMemberOrDefaultDelegate|System.Management.Automation.PSObject msjObj,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|
|System.Management.Automation|GetFirstOrDefaultDelegate|Invoke|System.Management.Automation.PSObject obj,System.Management.Automation.MemberNamePredicate predicate|METHOD|3|FULL HAVOC||System.Management.Automation|PSObject|DotNetGetFirstMemberOrDefaultDelegate|System.Management.Automation.PSObject msjObj,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|
|System|Func|Invoke|object arg|METHOD|1|FULL HAVOC||System.Management.Automation|PSObject|MappedInternalAdapterSet|object obj|METHOD|1|
