|||FirstProcess||OTHER|0|||PSTests.Sequential|PowerShellHostingScenario|TestStartJobThrowTerminatingException||METHOD|1|
|System.Collections.Generic|List|Add|string item|METHOD|1827|Null.{}.{R;R.?;R.*.UntilType{System.Array}.OfType{System.Array}.?;P}.{R.?;R.*.UntilType{System.Array}.OfType{System.Array}.?}.{[R.*.UntilType{System.Array}.OfType{System.Array}, P, ?]}<EOF>||System.Management.Automation|DefaultPSSnapInInformation|ctor|string sName,string sAssemblyName,string sDescription,string sDescriptionIndirect,string sVendorIndirect|METHOD|4|
|System.Collections.Generic|List|Add|string item|METHOD|1827|Null.{}.{R;R.?;R.*.UntilType{System.Array}.OfType{System.Array}.?;P}.{R.?;R.*.UntilType{System.Array}.OfType{System.Array}.?}.{[R.*.UntilType{System.Array}.OfType{System.Array}, P, ?]}<EOF>||System.Management.Automation|PSPropertySet|ctor|string name,System.Collections.Generic.List<string> referencedPropertyNameList|METHOD|326|
|System.Collections.Generic|Dictionary|Add|string key,string value|METHOD|7458|Null.{}.{R;R.?;R.?.?.OfKind{DictInternal}.?;P}.{R.?.?.OfKind{DictInternal}.?}.{[R.?.?.OfKind{DictInternal}, P, ?]}<EOF>||System.Management.Automation.Runspaces|SessionStateCmdletEntry|ctor|string name,System.Type implementingType,string helpFileName|METHOD|60|
|System.Collections.Generic|Dictionary|Add|string key,string value|METHOD|7458|Null.{}.{R;R.?;R.?.?.OfKind{DictInternal}.?;P}.{R.?.?.OfKind{DictInternal}.?}.{[R.?.?.OfKind{DictInternal}, P, ?]}<EOF>||System.Management.Automation.Runspaces|SessionStateProviderEntry|ctor|string name,System.Type implementingType,string helpFileName|METHOD|5|
|System.Collections.Generic|Dictionary|Add|string key,string value|METHOD|7458|Null.{}.{R;R.?;R.?.?.OfKind{DictInternal}.?;P}.{R.?.?.OfKind{DictInternal}.?}.{[R.?.?.OfKind{DictInternal}, P, ?]}<EOF>||System.Management.Automation|ConversionTypePair|GetHashCode||METHOD|390|
|System.Collections.Generic|Dictionary|Add|string key,string value|METHOD|7458|Null.{}.{R;R.?;R.?.?.OfKind{DictInternal}.?;P}.{R.?.?.OfKind{DictInternal}.?}.{[R.?.?.OfKind{DictInternal}, P, ?]}<EOF>||System.Management.Automation.Language|KeyComparer|GetHashCode|System.Tuple<string, System.Type, bool, bool> obj|METHOD|101|
|System.Collections|Hashtable|Item||PROPERTY|1|FULL HAVOC||System.Management.Automation|SemanticVersion|op_Implicit|System.Management.Automation.SemanticVersion semver|METHOD|1|
|System.Collections.Generic|Dictionary|TryGetValue|string key,System.Management.Automation.PSTraceSource value|METHOD|866|FULL HAVOC||System.Management.Automation|ConversionTypePair|GetHashCode||METHOD|472|
|System.Collections.Generic|Dictionary|TryGetValue|string key,System.Management.Automation.PSTraceSource value|METHOD|866|FULL HAVOC||System.Management.Automation|ConversionTypePair|Equals|object other|METHOD|80|
|System.Collections.Generic|Dictionary|TryGetValue|string key,System.Management.Automation.PSTraceSource value|METHOD|866|FULL HAVOC||System.Management.Automation.Language|KeyComparer|GetHashCode|System.Tuple<string, System.Type, bool, bool> obj|METHOD|96|
|System.Collections.ObjectModel|Collection|Add|System.Management.Automation.CollectionEntry<System.Management.Automation.PSMemberInfo> item|METHOD|2606|FULL HAVOC||System.Management.Automation|CollectionEntry|ctor|System.Management.Automation.CollectionEntry<T>.GetMembersDelegate getMembers,System.Management.Automation.CollectionEntry<T>.GetMemberDelegate getMember,System.Management.Automation.CollectionEntry<T>.GetFirstOrDefaultDelegate getFirstOrDefault,bool shouldReplicateWhenReturning,bool shouldCloneWhenReturning,string collectionNameForTracing|METHOD|2|
|System.Collections.ObjectModel|Collection|Add|System.Management.Automation.CollectionEntry<System.Management.Automation.PSMemberInfo> item|METHOD|2606|FULL HAVOC||System.Management.Automation|PSVariableAttributeCollection|InsertItem|int index,System.Attribute item|METHOD|3|
|System.Collections.Concurrent|ConcurrentDictionary|TryGetValue|System.Tuple<string, string> key,System.Management.Automation.ScriptBlock value|METHOD|48|FULL HAVOC||System.Management.Automation.Language|KeyComparer|GetHashCode|System.Tuple<System.Management.Automation.Language.ITypeName, System.Management.Automation.Language.TypeResolutionState> obj|METHOD|1|
|System.Management.Automation.Language|Tokenizer|SkipNewlines|bool skipSemis|METHOD|5|FULL HAVOC||System.Management.Automation.Language|Tokenizer|GetChar||METHOD|5|
|System.Management.Automation.Language|Tokenizer|SkipNewlines|bool skipSemis|METHOD|5|FULL HAVOC||System.Management.Automation.Language|CharExtensions|IsWhitespace|char c|METHOD|5|
|System.Management.Automation.Language|Tokenizer|SkipNewlines|bool skipSemis|METHOD|5|FULL HAVOC||System.Management.Automation.Language|Tokenizer|UngetChar||METHOD|5|
|System.Management.Automation.Language|Tokenizer|NextToken||METHOD|9|FULL HAVOC||System.Management.Automation.Language|Tokenizer|GetChar||METHOD|9|
|System.Management.Automation.Language|Tokenizer|NextToken||METHOD|9|FULL HAVOC||System.Management.Automation.Language|Tokenizer|PeekChar||METHOD|6|
|System.Management.Automation.Language|Tokenizer|NextToken||METHOD|9|FULL HAVOC||System.Management.Automation.Language|Tokenizer|ScanNumber|char firstChar|METHOD|5|
|System.Management.Automation.Language|Tokenizer|NextToken||METHOD|9|FULL HAVOC||System.Management.Automation.Language|Tokenizer|CheckOperatorInCommandMode|char c,System.Management.Automation.Language.TokenKind tokenKind|METHOD|1|
|System.Management.Automation.Language|Tokenizer|NextToken||METHOD|9|FULL HAVOC||System.Management.Automation.Language|Tokenizer|AtEof||METHOD|2|
|System.Management.Automation.Language|Tokenizer|NextToken||METHOD|9|FULL HAVOC||System.Management.Automation.Language|Tokenizer|NewScriptExtent|int start,int end|METHOD|2|
|System.Management.Automation.Language|Tokenizer|NextToken||METHOD|9|FULL HAVOC||System.Management.Automation.Language|Token|ctor|System.Management.Automation.Language.InternalScriptExtent scriptExtent,System.Management.Automation.Language.TokenKind kind,System.Management.Automation.Language.TokenFlags tokenFlags|METHOD|2|
|System.Management.Automation.Language|Tokenizer|NextToken||METHOD|9|FULL HAVOC||System.Management.Automation.Language|Tokenizer|SaveToken|T token|METHOD|2|
|System.Management.Automation.Language|Tokenizer|NextToken||METHOD|9|FULL HAVOC||System.Management.Automation.Language|Tokenizer|ScanIdentifier|char firstChar|METHOD|1|
|System.Management.Automation.Language|Tokenizer|GetLBracket||METHOD|1|FULL HAVOC||System.Management.Automation.Language|Tokenizer|GetChar||METHOD|1|
|System.Management.Automation.Language|Tokenizer|GetLBracket||METHOD|1|FULL HAVOC||System.Management.Automation.Language|CharExtensions|IsWhitespace|char c|METHOD|1|
|System.Management.Automation.Language|Tokenizer|GetLBracket||METHOD|1|FULL HAVOC||System.Management.Automation.Language|Tokenizer|UngetChar||METHOD|1|
|System.Management.Automation.Language|Parser|StatementRule||METHOD|2|FULL HAVOC||System.Management.Automation.Language|Parser|NextToken||METHOD|2|
|System.Management.Automation.Language|Parser|StatementRule||METHOD|2|FULL HAVOC||System.Management.Automation.Language|Token|get_Kind||METHOD|6|
|System.Management.Automation.Language|Parser|StatementRule||METHOD|2|FULL HAVOC||System.Management.Automation.Language|Token|get_Text||METHOD|1|
|System.Management.Automation.Language|Parser|StatementRule||METHOD|2|FULL HAVOC||System.Management.Automation.Language|Parser|UngetToken|System.Management.Automation.Language.Token token|METHOD|2|
|System.Management.Automation.Language|Parser|StatementRule||METHOD|2|FULL HAVOC||System.Management.Automation.Language|Parser|SetTokenizerMode|System.Management.Automation.Language.TokenizerMode mode|METHOD|2|
|System.Management.Automation.Language|Parser|StatementRule||METHOD|2|FULL HAVOC||System.Management.Automation.Language|Parser|ExpressionRule|bool endNumberOnTernaryOpChars|METHOD|1|
|System.Management.Automation.Language|Parser|StatementRule||METHOD|2|FULL HAVOC||System.Management.Automation.Language|Parser|PeekToken||METHOD|2|
|System.Management.Automation.Language|Parser|StatementRule||METHOD|2|FULL HAVOC||System.Management.Automation.Language|TokenTraits|HasTrait|System.Management.Automation.Language.TokenKind kind,System.Management.Automation.Language.TokenFlags flag|METHOD|1|
