|||FirstProcess||OTHER|0|||PSTests.Parallel|UtilsTests|TestConvertToJsonBasic||METHOD|1|
|System.Collections.Generic|Dictionary|TryGetValue|string key,System.Management.Automation.PSTraceSource value|METHOD|201|FULL HAVOC||System.Management.Automation|ConversionTypePair|GetHashCode||METHOD|196|
|System.Collections.Generic|Dictionary|Add|string key,string value|METHOD|232|Null.{}.{R;R.?;R.?.?.OfKind{DictInternal}.?;P}.{R.?.?.OfKind{DictInternal}.?}.{[R.?.?.OfKind{DictInternal}, P, ?]}<EOF>||System.Management.Automation|ConversionTypePair|GetHashCode||METHOD|195|
|Microsoft.PowerShell.Commands|JsonObject|ConvertToJson|object objectToProcess,Microsoft.PowerShell.Commands.JsonObject.ConvertToJsonContext context|METHOD|2|FULL HAVOC||System.Management.Automation|LanguagePrimitives|IsNull|object obj|METHOD|10|
|Microsoft.PowerShell.Commands|JsonObject|ConvertToJson|object objectToProcess,Microsoft.PowerShell.Commands.JsonObject.ConvertToJsonContext context|METHOD|2|FULL HAVOC||System.Management.Automation|LanguagePrimitives|ConvertTo|object valueToConvert,System.Type resultType,System.IFormatProvider formatProvider|METHOD|1|
|System.Collections.ObjectModel|Collection|Add|System.Management.Automation.CollectionEntry<System.Management.Automation.PSMemberInfo> item|METHOD|9|FULL HAVOC||System.Management.Automation|CollectionEntry|ctor|System.Management.Automation.CollectionEntry<T>.GetMembersDelegate getMembers,System.Management.Automation.CollectionEntry<T>.GetMemberDelegate getMember,System.Management.Automation.CollectionEntry<T>.GetFirstOrDefaultDelegate getFirstOrDefault,bool shouldReplicateWhenReturning,bool shouldCloneWhenReturning,string collectionNameForTracing|METHOD|2|
|System.Management.Automation|PSConverter|Invoke|object valueToConvert,System.Type resultType,bool recurse,System.Management.Automation.PSObject originalValueToConvert,System.IFormatProvider formatProvider,System.Management.Automation.Runspaces.TypeTable backupTable|METHOD|1|FULL HAVOC||System.Management.Automation|LanguagePrimitives|ConvertNonNumericToString|object valueToConvert,System.Type resultType,bool recursion,System.Management.Automation.PSObject originalValueToConvert,System.IFormatProvider formatProvider,System.Management.Automation.Runspaces.TypeTable backupTable|METHOD|1|
|System.Management.Automation|GetEnumerableDelegate|Invoke|object obj|METHOD|1|FULL HAVOC||System.Management.Automation|LanguagePrimitives|ReturnNullEnumerable|object obj|METHOD|1|
|System|Func|Invoke|System.Runtime.CompilerServices.CallSite arg1,object arg2|METHOD|8|FULL HAVOC||System.Management.Automation.Language|PSEnumerableBinder|PSObjectStringRule|System.Runtime.CompilerServices.CallSite site,object obj|METHOD|1|
|System|Func|Invoke|System.Runtime.CompilerServices.CallSite arg1,object arg2|METHOD|8|FULL HAVOC||System.Management.Automation.Language|PSEnumerableBinder|ArrayRule|System.Runtime.CompilerServices.CallSite site,object obj|METHOD|1|
|System|Func|Invoke|System.Runtime.CompilerServices.CallSite arg1,object arg2|METHOD|8|FULL HAVOC||System.Management.Automation.Language|PSEnumerableBinder|StringRule|System.Runtime.CompilerServices.CallSite site,object obj|METHOD|1|
|System|Func|Invoke|System.Runtime.CompilerServices.CallSite arg1,object arg2|METHOD|8|FULL HAVOC||System.Management.Automation.Language|PSEnumerableBinder|NotEnumerableRule|System.Runtime.CompilerServices.CallSite site,object obj|METHOD|1|
|System|Func|Invoke|System.Runtime.CompilerServices.CallSite arg1,object arg2|METHOD|8|FULL HAVOC||System.Management.Automation.Language|PSEnumerableBinder|PSObjectNotEnumerableRule|System.Runtime.CompilerServices.CallSite site,object obj|METHOD|1|
|System|Func|Invoke|System.Runtime.CompilerServices.CallSite arg1,object arg2|METHOD|8|FULL HAVOC||System.Management.Automation.Language|PSEnumerableBinder|AutomationNullRule|System.Runtime.CompilerServices.CallSite site,object obj|METHOD|1|
|System|Func|Invoke|System.Runtime.CompilerServices.CallSite arg1,object arg2|METHOD|8|FULL HAVOC||System.Management.Automation.Language|PSEnumerableBinder|FallbackConvert|System.Dynamic.DynamicMetaObject target,System.Dynamic.DynamicMetaObject errorSuggestion|METHOD|1|
