|||FirstProcess||OTHER|0|
|Microsoft.PowerShell.Commands|ConvertToJsonContext|ctor|int maxDepth,bool enumsAsStrings,bool compressOutput|METHOD|2|FULL HAVOC
|System.Collections|Hashtable|ctor||METHOD|1|FULL HAVOC
|System.Collections|Hashtable|Add|object key,object? value|METHOD|1|FULL HAVOC
|System|Object|ctor||METHOD|3|Fresh.{}.{}.{RV.?}.{}<EOF>
|System.Threading|ThreadLocal|ctor||METHOD|1|FULL HAVOC
|System.Collections.Generic|Dictionary|ctor|System.Collections.Generic.IEqualityComparer<string>? comparer|METHOD|12|Fresh.{Many{|DictInternal}}.{P}.{RV.?;RO.?}.{[RV;RO, RO, ?], [RO, P, ?]}<EOF>
|System|String|IsNullOrEmpty|string? value|METHOD|10|Null.{}.{R;P}.{}.{}<EOF>
|System.Collections.Generic|Dictionary|TryGetValue|string key,System.Management.Automation.PSTraceSource value|METHOD|198|FULL HAVOC
|System.Collections.Generic|Dictionary|ContainsKey|string key|METHOD|3|Null.{}.{R;R.?;R.?.?.OfKind{DictInternal}.?;P}.{}.{}<EOF>
|System|Environment|GetEnvironmentVariable|string variable|METHOD|3|Null.{}.{R;P}.{}.{}<EOF>
|System|String|Equals|string? a,string? b,System.StringComparison comparisonType|METHOD|3|Null.{}.{R;P}.{}.{}<EOF>
|System.Dynamic|ConvertBinder|ctor|System.Type type,bool explicit|METHOD|2|FULL HAVOC
|System.Runtime.CompilerServices|CallSiteBinder|CacheTarget|System.Func<System.Runtime.CompilerServices.CallSite, object, System.Collections.IEnumerator> target|METHOD|6|FULL HAVOC
|System.Runtime.CompilerServices|CallSite|Create|System.Runtime.CompilerServices.CallSiteBinder binder|METHOD|1|FULL HAVOC
|System.Collections.Generic|Dictionary|Add|string key,string value|METHOD|230|Null.{}.{R;R.?;R.?.?.OfKind{DictInternal}.?;P}.{R.?.?.OfKind{DictInternal}.?}.{[R.?.?.OfKind{DictInternal}, P, ?]}<EOF>
|System.Collections.Generic|Dictionary|Clear||METHOD|2|FULL HAVOC
|System|Type|GetHashCode||METHOD|776|FULL HAVOC
|Microsoft.PowerShell.Commands|JsonObject|ConvertToJson|object objectToProcess,Microsoft.PowerShell.Commands.JsonObject.ConvertToJsonContext context|METHOD|2|FULL HAVOC
|System.Collections.Concurrent|ConcurrentDictionary|ctor||METHOD|3|FULL HAVOC
|System.Collections.Generic|List|ctor||METHOD|1|Fresh.{Single{System.Array}}.{P}.{RV.?;RO.?}.{[RV, RO, ?]}<EOF>
|System.Collections.Generic|List|Add|System.Func<object, System.Management.Automation.PSObject.AdapterSet> item|METHOD|1|Null.{}.{R;R.?;R.*.UntilType{System.Array}.OfType{System.Array}.?;P}.{R.?;R.*.UntilType{System.Array}.OfType{System.Array}.?}.{[R.*.UntilType{System.Array}.OfType{System.Array}, P, ?]}<EOF>
|System.Runtime.CompilerServices|ConditionalWeakTable|ctor||METHOD|2|FULL HAVOC
|System.Collections.ObjectModel|Collection|ctor||METHOD|3|FULL HAVOC
|System.Collections.ObjectModel|Collection|Add|System.Management.Automation.CollectionEntry<System.Management.Automation.PSMemberInfo> item|METHOD|9|FULL HAVOC
|System.Management.Automation|CollectionEntry|ctor|System.Management.Automation.CollectionEntry<System.Management.Automation.PSMethodInfo>.GetMembersDelegate getMembers,System.Management.Automation.CollectionEntry<System.Management.Automation.PSMethodInfo>.GetMemberDelegate getMember,System.Management.Automation.CollectionEntry<System.Management.Automation.PSMethodInfo>.GetFirstOrDefaultDelegate getFirstOrDefault,bool shouldReplicateWhenReturning,bool shouldCloneWhenReturning,string collectionNameForTracing|METHOD|2|FULL HAVOC
|System.Collections.Specialized|HybridDictionary|ctor||METHOD|1|FULL HAVOC
|System.Collections.Generic|SortedDictionary|ctor||METHOD|1|FULL HAVOC
|PSTests|CustomAssert|Equal|string expected,string actual|METHOD|1|FULL HAVOC
