|||FirstProcess||OTHER|0|||PSTests.Parallel|PSObjectTests|TestCimInstanceProperty||METHOD|1|
|System.Collections.ObjectModel|Collection|Add|System.Management.Automation.CollectionEntry<System.Management.Automation.PSMemberInfo> item|METHOD|18|FULL HAVOC||System.Management.Automation|CollectionEntry|ctor|System.Management.Automation.CollectionEntry<T>.GetMembersDelegate getMembers,System.Management.Automation.CollectionEntry<T>.GetMemberDelegate getMember,System.Management.Automation.CollectionEntry<T>.GetFirstOrDefaultDelegate getFirstOrDefault,bool shouldReplicateWhenReturning,bool shouldCloneWhenReturning,string collectionNameForTracing|METHOD|2|
|System.Management.Automation|PowerShell|Create|System.Management.Automation.Runspaces.InitialSessionState initialSessionState|METHOD|1|FULL HAVOC||System.Management.Automation|PSMemberInfoCollection|IsReservedName|string name|METHOD|10|
|System.Runtime.CompilerServices|ConditionalWeakTable|GetValue|object key,System.Runtime.CompilerServices.ConditionalWeakTable<object, System.Management.Automation.PSMemberInfoInternalCollection<System.Management.Automation.PSMemberInfo>>.CreateValueCallback createValueCallback|METHOD|1|FULL HAVOC||System.Management.Automation|PSMemberInfoInternalCollection|ctor||METHOD|1|
|System.Management.Automation|PSMemberInfoInternalCollection|MoveNext||PROPERTY|0|||System.Management.Automation|PSMemberInfoInternalCollection|GetEnumerator||METHOD|2|
|System.Management.Automation|GetFirstOrDefaultDelegate|Invoke|System.Management.Automation.PSObject obj,System.Management.Automation.MemberNamePredicate predicate|METHOD|2|FULL HAVOC||System.Management.Automation|PSObject|TypeTableGetFirstMemberOrDefaultDelegate|System.Management.Automation.PSObject msjObj,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|
|System.Management.Automation|GetFirstOrDefaultDelegate|Invoke|System.Management.Automation.PSObject obj,System.Management.Automation.MemberNamePredicate predicate|METHOD|2|FULL HAVOC||System.Management.Automation|PSObject|AdapterGetFirstMemberOrDefaultDelegate|System.Management.Automation.PSObject msjObj,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|
|System|Func|Invoke|object arg|METHOD|1|FULL HAVOC||System.Management.Automation|PSObject|MappedInternalAdapterSet|object obj|METHOD|1|
|System.Management.Automation.Runspaces|TypeTable|GetFirstMemberOrDefault|System.Management.Automation.Runspaces.ConsolidatedString types,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|FULL HAVOC||System.Management.Automation|PSMemberInfoInternalCollection|ctor||METHOD|1|
|System.Management.Automation.Runspaces|TypeTable|GetFirstMemberOrDefault|System.Management.Automation.Runspaces.ConsolidatedString types,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|FULL HAVOC||System.Management.Automation|PSMemberInfoInternalCollection|GetEnumerator||METHOD|2|
|System.Management.Automation.Runspaces|TypeTable|GetFirstMemberOrDefault|System.Management.Automation.Runspaces.ConsolidatedString types,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|FULL HAVOC||System.Management.Automation|PSMemberInfo|get_Name||METHOD|2|
|System.Management.Automation.Runspaces|TypeTable|GetFirstMemberOrDefault|System.Management.Automation.Runspaces.ConsolidatedString types,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|FULL HAVOC||System.Management.Automation|PSMemberInfoInternalCollection|get_Item|string name|METHOD|2|
|System.Management.Automation.Runspaces|TypeTable|GetFirstMemberOrDefault|System.Management.Automation.Runspaces.ConsolidatedString types,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|FULL HAVOC||System.Management.Automation|PSPropertySet|Copy||METHOD|1|
|System.Management.Automation.Runspaces|TypeTable|GetFirstMemberOrDefault|System.Management.Automation.Runspaces.ConsolidatedString types,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|FULL HAVOC||System.Management.Automation|PSMemberInfoInternalCollection|Add|T member|METHOD|2|
|System.Management.Automation.Runspaces|TypeTable|GetFirstMemberOrDefault|System.Management.Automation.Runspaces.ConsolidatedString types,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|FULL HAVOC||System.Management.Automation|PSMemberSet|Copy||METHOD|1|
|System.Management.Automation|PSMemberInfoCollection|MoveNext||PROPERTY|0|||System.Management.Automation|PSMemberInfoIntegratingCollection|GetEnumerator||METHOD|1|
|System.Management.Automation|PSMemberInfoCollection|MoveNext||PROPERTY|0|||System.Management.Automation|Enumerator|MoveNext||METHOD|2|
|System.Management.Automation|PSMemberInfoCollection|MoveNext||PROPERTY|0|||System.Management.Automation|Enumerator|SystemCollectionsGenericIEnumerator<S>get_Current||METHOD|1|
|System.Management.Automation|Adapter|BaseGetFirstMemberOrDefault|object obj,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|FULL HAVOC||System.Management.Automation|PSAdaptedProperty|ctor|string name,object tag|METHOD|1|
