|||FirstProcess||OTHER|0|||PSTests.Sequential|PowerShellHostingScenario|TestStartJobThrowTerminatingException||METHOD|1|
|System.Management.Automation|ScriptBlock|Create|string script|METHOD|1|FULL HAVOC||System.Management.Automation.Runspaces|LocalPipeline|GetExecutionContextFromTLS||METHOD|4|
|PSTests|CustomAssert|Throws|System.Func<object> testCode|METHOD|1|FULL HAVOC||System.Management.Automation|PowerShell|Invoke||METHOD|1|
|System.Management.Automation.Internal|PSDataCollectionStream|ctor|System.Guid psInstanceId,System.Management.Automation.PSDataCollection<TOutput> storeToUse|METHOD|2|FULL HAVOC||System.Management.Automation|PSDataCollection|AddRef||METHOD|2|
|System.Management.Automation.Runspaces|InitialSessionState|CreateDefault||METHOD|1|FULL HAVOC||System.Management.Automation.Runspaces|LocalPipeline|GetExecutionContextFromTLS||METHOD|10|
|System.Management.Automation|AutomationEngine|ctor|System.Management.Automation.Host.PSHost hostInterface,System.Management.Automation.Runspaces.InitialSessionState iss|METHOD|1|FULL HAVOC||System.Management.Automation.Internal.Host|InternalHost|ctor|System.Management.Automation.Host.PSHost externalHost,System.Management.Automation.ExecutionContext executionContext|METHOD|1|
|System.Management.Automation|AutomationEngine|ctor|System.Management.Automation.Host.PSHost hostInterface,System.Management.Automation.Runspaces.InitialSessionState iss|METHOD|1|FULL HAVOC||System.Management.Automation.Runspaces|LocalPipeline|GetExecutionContextFromTLS||METHOD|69|
|System.Management.Automation|MshLog|LogEngineLifecycleEvent|System.Management.Automation.ExecutionContext executionContext,System.Management.Automation.EngineState engineState|METHOD|1|FULL HAVOC||System.Management.Automation.Internal.Host|InternalHost|get_Name||METHOD|1|
|System.Management.Automation|MshLog|LogEngineLifecycleEvent|System.Management.Automation.ExecutionContext executionContext,System.Management.Automation.EngineState engineState|METHOD|1|FULL HAVOC||System.Management.Automation.Internal.Host|InternalHost|get_Version||METHOD|1|
|System.Management.Automation|MshLog|LogEngineLifecycleEvent|System.Management.Automation.ExecutionContext executionContext,System.Management.Automation.EngineState engineState|METHOD|1|FULL HAVOC||System.Management.Automation.Internal.Host|InternalHost|get_InstanceId||METHOD|1|
|System.Management.Automation|MshLog|LogEngineLifecycleEvent|System.Management.Automation.ExecutionContext executionContext,System.Management.Automation.EngineState engineState|METHOD|1|FULL HAVOC||System.Management.Automation.Runspaces|RunspaceBase|GetCurrentlyRunningPipeline||METHOD|1|
|System.Management.Automation|PSVariable|ctor|string name,object value,System.Management.Automation.ScopedItemOptions options,System.Collections.ObjectModel.Collection<System.Attribute> attributes|METHOD|1|FULL HAVOC||System.Management.Automation.Runspaces|LocalPipeline|GetExecutionContextFromTLS||METHOD|2|
|System.Management.Automation|SessionStateInternal|InitializeFixedVariables||METHOD|1|FULL HAVOC||System.Management.Automation.Runspaces|LocalPipeline|GetExecutionContextFromTLS||METHOD|9|
|System.Management.Automation.Runspaces|InitialSessionState|BindRunspace|System.Management.Automation.Runspaces.Runspace initializedRunspace,System.Management.Automation.PSTraceSource runspaceInitTracer|METHOD|1|FULL HAVOC||System.Management.Automation.Runspaces|Runspace|get_ExecutionContext||METHOD|1|
|System|EventHandler|Invoke|object? sender,System.Management.Automation.Runspaces.PipelineStateEventArgs e|METHOD|1|FULL HAVOC||System.Management.Automation|PowerShell|PipelineStateChanged|object source,System.Management.Automation.Runspaces.PipelineStateEventArgs stateEventArgs|METHOD|1|
